OBJECTID,COMNAME,SCINAME,UNITNAME,SUBUNITNAM,STATUS,PUBDATE,OfficeLead,FedRegPub,FWS_ListSt,SpeGroup,Shape__Area,Shape__Length
1,Jaguar,Panthera onca,Baboquivari,Southern Baboquivari,Final,20140305,Region 2 - Southwest,79FR12572,Endangered,Mammals,0.008131735994659,0.598357035186954
2,Jaguar,Panthera onca,Baboquivari,Southern Baboquivari,Final,20140305,Region 2 - Southwest,79FR12572,Endangered,Mammals,6.2525090383e-05,0.031705492789657
3,Jaguar,Panthera onca,Whetstone,Whetstone-Santa Rita,Final,20140305,Region 2 - Southwest,79FR12572,Endangered,Mammals,0.00490323858933,0.366371770509004
4,Jaguar,Panthera onca,Whetstone,Whetstone-Huachuca,Final,20140305,Region 2 - Southwest,79FR12572,Endangered,Mammals,0.007341785204891,0.553161835708493
5,Jaguar,Panthera onca,San Luis, ,Final,20140305,Region 2 - Southwest,79FR12572,Endangered,Mammals,0.00295921578767,0.250909855779518
6,Jaguar,Panthera onca,Peloncillo, ,Final,20140305,Region 2 - Southwest,79FR12572,Endangered,Mammals,0.039456132928023,1.13471306797279
7,Jaguar,Panthera onca,Baboquivari,Baboquivari-Coyote,Final,20140305,Region 2 - Southwest,79FR12572,Endangered,Mammals,0.000240765246133,0.094818449989655
8,Jaguar,Panthera onca,Baboquivari,Baboquivari-Coyote,Final,20140305,Region 2 - Southwest,79FR12572,Endangered,Mammals,0.001605950452239,0.229276694933678
9,Jaguar,Panthera onca,Baboquivari,Baboquivari-Coyote,Final,20140305,Region 2 - Southwest,79FR12572,Endangered,Mammals,0.014252576945814,0.865110906702848
10,Jaguar,Panthera onca,Baboquivari,Baboquivari-Coyote,Final,20140305,Region 2 - Southwest,79FR12572,Endangered,Mammals,7.959457363e-06,0.012189247586094
11,Jaguar,Panthera onca,Baboquivari,Baboquivari-Coyote,Final,20140305,Region 2 - Southwest,79FR12572,Endangered,Mammals,1.4777977792e-05,0.022866186606146
12,Jaguar,Panthera onca,Atascosa, ,Final,20140305,Region 2 - Southwest,79FR12572,Endangered,Mammals,0.055646968492818,1.64917718468864
13,Jaguar,Panthera onca,Whetstone,Whetstone,Final,20140305,Region 2 - Southwest,79FR12572,Endangered,Mammals,0.024083617651395,1.1587384058534
14,Jaguar,Panthera onca,Patagonia, ,Final,20140305,Region 2 - Southwest,79FR12572,Endangered,Mammals,0.135180058311483,5.47207790847472
